"regon14","nip","nazwa","woj","pow","gmi","miej","ul","nr","lok","miej_naz","ul_naz"
"43012391300036","7121936939","WOJEWÓDZKI URZĄD PRACY W LUBLINIE FILIA W ZAMOŚCIU","06","64","011","0987510","15733","3","","Zamość","ul. Partyzantów"
"43012391300043","7121936939","WOJEWÓDZKI URZĄD PRACY W LUBLINIE FILIA W BIAŁEJ PODLASKIEJ","06","61","011","0922018","23682","14","","Biała Podlaska","ul. Warszawska"
"43119974600000","7141716833","POWIATOWY URZĄD PRACY W LUBARTOWIE","06","08","011","0956313","21762","64","","Lubartów","ul. Klemensa Junoszy Szaniawskiego"
"43119995300000","7162242263","POWIATOWY URZĄD PRACY W RYKACH","06","16","044","0956980","19278","50","55","Ryki","ul. Rynek Stary"
"43120140800000","7171285792","POWIATOWY URZĄD PRACY W OPOLU LUBELSKIM","06","12","054","0956550","21032","14-16","","Opole Lubelskie","ul. Stary Rynek"
"43120249000000","7132149895","POWIATOWY URZĄD PRACY W ŁĘCZNEJ","06","10","034","0956388","33262","95","","Łęczna","Aleja Jana Pawła II"
"43120338200000","7131777750","POWIATOWY URZĄD PRACY W ŚWIDNIKU","06","17","011","0957146","48411","1","","Świdnik","Aleja Lotników Polskich"
"43120527000000","7162271230","POWIATOWY URZĄD PRACY W PUŁAWACH","06","14","011","0956810","11307","2G","","Puławy","ul. Lubelska"
"43120531700000","7151605940","POWIATOWY URZĄD PRACY W KRAŚNIKU","06","07","011","0956112","30816","20","","Kraśnik","Aleja Niepodległości"
"43120561300000","8621007592","POWIATOWY URZĄD PRACY W JANOWIE LUBELSKIM","06","05","054","0980493","25579","70","","Janów Lubelski","ul. Jana Zamoyskiego"
"43121364700000","7122524848","MIEJSKI URZĄD PRACY W LUBLINIE","06","63","011","0954700","14116","14","","Lublin","ul. Niecała"
"43121432200000","7122525279","POWIATOWY URZĄD PRACY W LUBLINIE","06","63","011","0954700","12600","11C","","Lublin","ul. Mełgiewska"
"45070863800000","7181219408","POWIATOWY URZĄD PRACY W ŁOMŻY","20","62","011","0957241","14426","1","","Łomża","ul. Nowogrodzka"
"45070919300000","7221068299","POWIATOWY URZĄD PRACY W WYSOKIEM MAZOWIECKIEM","20","13","011","0957620","11926","8","","Wysokie Mazowieckie","ul. 1 Maja"
"45070947700000","7231195846","POWIATOWY URZĄD PRACY W ZAMBROWIE","20","14","011","0957637","04863","3","","Zambrów","ul. Fabryczna"
"45070960300000","5461208422","POWIATOWY URZĄD PRACY W MOŃKACH","20","08","064","0923348","25133","22","","Mońki","ul. Wyzwolenia"
"45070996800000","7191030664","POWIATOWY URZĄD PRACY W GRAJEWIE","20","04","011","0957376","21271","6A","","Grajewo","ul. Strażacka"
"45070997400000","7211136668","POWIATOWY URZĄD PRACY W KOLNIE","20","06","011","0957420","24628","46","","Kolno","ul. Wojska Polskiego"
"47228377100000","7311026927","POWIATOWY URZĄD PRACY W PABIANICACH","10","08","021","0959079","23707","11","","Pabianice","ul. Ludwika Waryńskiego"
"47228600200000","7321045122","POWIATOWY URZĄD PRACY W ZGIERZU","10","20","031","0959263","00773","10","","Zgierz","ul. Henryka Barona"
